Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_2019_Mouse__Lysosome,0.5722660999167801,1.1909237928190974,1.753653e-01,1.000000e+00,1.000000e+00,4/124,5.18%,Psapl1;Lamp3;Dnase2b;Ctsg
prerank,KEGG_2019_Mouse__Sphingolipid metabolism,-0.6482234068615892,-1.1817802385751153,2.016461e-01,1.000000e+00,1.000000e+00,2/48,2.84%,Acer1;9130409I23Rik
prerank,KEGG_2019_Mouse__Fanconi anemia pathway,-0.6482146189078551,-1.1812292823884445,1.918605e-01,1.000000e+00,1.000000e+00,10/51,9.04%,Eme1;Brip1;Rmi2;Ube2t;Fanci;Rad51;Brca1;Fancd2;Fanca;Cenps
prerank,KEGG_2019_Mouse__Kaposi sarcoma-associated herpesvirus infection,-0.5272026341584142,-1.1779292207003487,9.826590e-02,1.000000e+00,1.000000e+00,59/205,16.75%,Gngt1;Calm4;Cxcl3;Ccr1l1;Ccr4;H2-M2;H2-M5;H2-Q7;Ccr8;E2f1;Ikbke;C3;Irf7;H2-T22;H2-K1;Stat1;H2-Q4;Gm11127;H2-D1;Casp3;Cdk6;Ccr3;Ccr1;H2-Q6;Ccr5;Ccnd1;Hck;Bak1;Bid;H2-T23;Trp53;Gng2;Pik3r5;Gngt2;Mapk11;Pik3cd;Lyn;H2-M3;Casp8;Ifngr1;Myc;Gnb4;Nfatc4;E2f2;Cd86;Gng3;Syk;Cdkn1a;Cdk4;Nfatc2;Stat2;Nfkbia;Nfkb1;Traf2;E2f3;Akt1;H2-Q10;Tyk2;Nras
prerank,KEGG_2019_Mouse__Pyrimidine metabolism,-0.6224936264033369,-1.1773832935812851,1.968191e-01,1.000000e+00,1.000000e+00,19/57,15.66%,4933425L06Rik;Tk1;Rrm2;Uck2;Nme4;Tyms;Cda;Dck;Upp1;Enpp3;Dctd;Dctpp1;Cad;Rrm1;Entpd1;Uprt;Umps;Dut;Ctps
prerank,KEGG_2019_Mouse__Long-term depression,-0.6157824554219765,-1.1769360114315273,2.024793e-01,1.000000e+00,1.000000e+00,4/60,5.82%,Pla2g4f;Pla2g4d;Prkg2;Pla2g4c
prerank,KEGG_2019_Mouse__Homologous recombination,-0.6699488300045159,-1.175581341319702,2.510121e-01,1.000000e+00,1.000000e+00,20/41,19.19%,Eme1;Brip1;Rad51;Brca1;Bard1;Rad54l;Rbbp8;Rad51b;Pold1;Palb2;Topbp1;Rad51c;Pold4;Blm;Rpa3;Top3a;Rpa2;Mre11a;Rad50;Rad54b
prerank,KEGG_2019_Mouse__Toxoplasmosis,-0.5570939674851645,-1.1676077219325112,1.560000e-01,1.000000e+00,1.000000e+00,53/107,19.77%,Il12b;H2-Eb1;Ciita;H2-Aa;H2-Ab1;Tlr11;Cd40;Socs1;Ifng;Lamb1;H2-DMb2;Irgm1;Igtp;Stat1;Il10;Casp3;Ccr5;H2-DMa;H2-DMb1;Birc3;Pik3r5;Il10ra;Mapk11;Casp8;Tgfb1;Cd40lg;Myd88;Ifngr1;Nos2;Tlr4;Tgfb3;Map2k3;H2-Oa;H2-Ob;Nfkbia;Ifngr2;Ly96;Nfkb1;Hspa1b;Akt1;Tyk2;Irak4;Lamb3;Itga6;Itgb1;Pik3cg;Ikbkb;Tlr2;Hspa8;Lamc1;Gnai2;Hspa1l;Mapk14
prerank,KEGG_2019_Mouse__Vitamin digestion and absorption,0.7160436444099592,1.1647311149928248,3.191919e-01,1.000000e+00,1.000000e+00,2/23,4.58%,Apoa4;Pnlip
prerank,KEGG_2019_Mouse__Butanoate metabolism,0.705291010440809,1.161720551203328,3.138402e-01,1.000000e+00,1.000000e+00,13/27,24.16%,Acsm4;Acsm3;Acsm5;Ehhadh;Abat;Bdh1;Acat1;L2hgdh;Gad1;Echs1;Aldh5a1;Bdh2;Hadh
prerank,KEGG_2019_Mouse__Linoleic acid metabolism,-0.6312938766240468,-1.1575900849100895,2.445759e-01,1.000000e+00,1.000000e+00,5/48,3.64%,Pla2g4f;Pla2g4d;Cyp2c23;Pla2g2f;Cyp2c65
prerank,KEGG_2019_Mouse__Legionellosis,-0.609340771257222,-1.1543090978254726,2.246094e-01,1.000000e+00,1.000000e+00,21/57,16.67%,Cxcl3;Il12b;Naip1;C3;Nfkb2;Casp1;Casp3;Tlr5;Il1b;Pycard;Casp8;Nlrc4;Myd88;Apaf1;Tlr4;Nfkbia;Naip2;Nfkb1;Itgam;Hspa1b;Cd14
prerank,KEGG_2019_Mouse__Osteoclast differentiation,-0.5410699939092759,-1.152758610713658,1.566731e-01,1.000000e+00,1.000000e+00,55/123,17.44%,Fosl1;Sirpb1a;Sirpb1c;Acp5;Fcgr4;Calcr;Socs1;Ifng;Sirpb1b;Gm15448;Lck;Pparg;Nfkb2;Tnfsf11;Stat1;Pira2;Tyrobp;Pirb;Ncf4;Relb;Lilrb4a;Csf1r;Map3k14;Il1b;Spi1;Itgb3;Fcgr1;Mapk11;Pik3cd;Cyba;Fcgr2b;Tgfb1;Lcp2;Trem2;Fcgr3;Fhl2;Ifngr1;Socs3;Syk;Nfatc2;Stat2;Nfkbia;Ifngr2;Lilra5;Gm14548;Nfkb1;Tnfrsf11a;Traf2;Akt1;Tyk2;Tgfbr1;Ncf2;Ncf1;Tec;Plcg2
prerank,KEGG_2019_Mouse__Salivary secretion,-0.5792123936409586,-1.1492351377736119,2.276265e-01,1.000000e+00,1.000000e+00,7/78,7.14%,Calm4;Best2;Dmbt1;Prkg2;Aqp5;Kcnn4;Atp1b4
prerank,KEGG_2019_Mouse__Glycosaminoglycan biosynthesis,0.5985569819387909,1.134902242759182,2.495164e-01,1.000000e+00,1.000000e+00,16/53,23.17%,Chst4;Chst13;Hs3st3a1;Hs3st5;Hs6st2;Ndst4;Hs3st1;Hs3st3b1;Chst1;Chsy3;Extl1;Csgalnact1;St3gal3;Chst12;Extl2;Xylt1
